registro_funcional;num_vinculo;dc_cargo_base;grupo_cargo_base;nivel_cargo_base;segmento_cargo_base;referencia_cargo_comissao;relacao_juridica;qt_hora_jornada_semanal;dc_orgao;qtd_servidores_orgao;ano_nascimento;sexo;raca;pessoa_com_deficiencia;vl_remuneracao_base_mensal;vl_outro_elemento_remuneracao;vl_remuneracao_total_bruta;cedido;tempo_exercicio_dias;tempo_exercicio_dias_padro;vl_remuneracao_total_bruta_padro;k_means4
3118371;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;DAS12;EFETIVO;40;SUBPREFEITURA CIDADE ADEMAR;91.0;1954;M;BRANCA;NAO;18809.92;5984.3;24794.22;False;10968;1.5615179883533938;1.0851571480904996;2
3124363;1;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;Nenhum;EDUCACAO FISICA, ESPORTES;;ADMITIDO;40;SECRETARIA MUNICIPAL DE ESPORTES E LAZER;679.0;1946;M;BRANCA;NAO;8727.48;1634.07;10361.55;False;16432;3.084212571104599;-0.4491516340563138;3
3130452;3;ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL;QAA;IV;SERVICO SOCIAL;;EFETIVO;30;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB;236.0;1954;F;BRANCA;NAO;16043.35;7827.81;23871.16;False;11350;1.6679728438824861;0.98702845364599;2
3131971;3;ANALISTA;QAA;Nenhum;0;;ADMITIDO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1957;F;PARDA;NAO;7475.01;1458.73;8933.74;False;12406;1.962256423565003;-0.6009393089797369;3
3144780;2;ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL;QAA;IV;ADMINISTRACAO;DAS10;EFETIVO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1953;F;PRETA;NAO;16695.76;5335.96;22031.72;False;15600;2.852352781051707;0.7914812024282921;2
3148327;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;PROCURADORIA GERAL DO MUNICIPIO;795.0;1954;F;BRANCA;NAO;18093.95;5961.04;24054.99;False;13230;2.191886792559694;1.0065710596518123;2
3151352;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;;EFETIVO;40;SUBPREFEITURA VILA MARIANA;152.0;1949;M;BRANCA;NAO;19541.48;3148.03;22689.51;False;13266;2.2019191873215984;0.8614095645268053;2
3154327;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;DAS15;EFETIVO;40;SUBPREFEITURA CAPELA DO SOCORRO;127.0;1949;M;BRANCA;NAO;19464.01;6153.46;25617.47;False;13280;2.2058206741734496;1.172675237598703;2
3159566;2;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;IV;BIBLIOTECONOMIA;DAS10;EFETIVO;40;SECRETARIA MUNICIPAL DE CULTURA;1180.0;1955;F;BRANCA;NAO;16544.68;2658.29;19202.97;False;11721;1.7713622454565523;0.49076234947192315;2
3160602;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB;236.0;1951;M;BRANCA;NAO;19541.48;3148.03;22689.51;False;13288;2.2080500952316506;0.8614095645268053;2
3162885;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;I;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DE HABITACAO;247.0;1956;F;BRANCA;NAO;7035.0;1388.43;8423.43;False;500;-1.355679466302465;-0.655189362131187;1
3163318;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1958;M;AMARELA;NAO;18093.95;5961.04;24054.99;False;12935;2.1096768910385366;1.0065710596518123;2
3165272;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB;236.0;1953;M;BRANCA;NAO;20643.92;3302.37;23946.29;False;15624;2.8590410442263097;0.9950153762876559;2
3172261;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1953;F;BRANCA;NAO;19541.48;3030.25;22571.73;False;15626;2.8595983994908596;0.8488886042082191;2
3178854;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;DAS14;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1959;F;BRANCA;NAO;19024.71;2945.38;21970.09;False;11024;1.5771239357608;0.7849294382541158;2
3179176;2;ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL;QAA;III;SERVICO SOCIAL;DAS12;EFETIVO;40;SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL;898.0;1954;M;PARDA;NAO;14222.13;4982.55;19204.68;False;10566;1.4494895801787995;0.4909441362111384;2
3183955;5;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;DAS12;EFETIVO;40;SECRETARIA MUNICIPAL DE HABITACAO;247.0;1957;M;BRANCA;NAO;20257.45;3148.03;23405.48;False;13287;2.2077714175993757;0.9375229280800256;2
3185699;3;ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL;QAA;IV;SERVICO SOCIAL;DAS10;EFETIVO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1952;F;BRANCA;NAO;16754.56;5550.29;22304.85;False;11362;1.6713169754697874;0.8205171159264706;2
3194931;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1950;F;BRANCA;NAO;19541.48;3148.03;22689.51;False;14241;2.4736298787898314;0.8614095645268053;2
3195384;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SUBPREFEITURA LAPA;174.0;1954;M;BRANCA;NAO;19541.48;6208.64;25750.12;False;15238;2.7514714781681167;1.1867769983922203;2
3195902;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;III;ENGENHARIA;DAS15;EFETIVO;40;SUBPREFEITURA VILA PRUDENTE;110.0;1953;M;BRANCA;NAO;16104.18;2192.35;18296.53;False;13287;2.2077714175993757;0.39440049456294507;2
3196917;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;III;ARQUITETURA;;EFETIVO;40;SUBPREFEITURA LAPA;174.0;1955;M;BRANCA;NAO;;;0.0;False;11028;1.5782386462899005;-1.5506676502649093;3
3198979;3;ANALISTA DE MEIO AMBIENTE;QAA;II;MEIO AMBIENTE;;EFETIVO;40;SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE;740.0;1952;M;BRANCA;NAO;7878.88;1103.04;8981.92;True;4629;-0.20501952263853285;-0.5958173878713187;0
3932729;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DE HABITACAO;247.0;1952;M;BRANCA;NAO;19541.48;7078.35;26619.83;True;15609;2.854860879742183;1.2792341591892806;2
4799941;4;ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL;QAA;III;CIENCIAS CONTABEIS;DAS12;EFETIVO;40;SECRETARIA MUNICIPAL DE ESPORTES E LAZER;679.0;1958;M;BRANCA;NAO;12544.35;2168.43;14712.78;False;8686;0.9255756315015913;0.013419075461792008;3
5001153;4;ANALISTA DE ORDENAMENTO TERRITORIAL;QAA;IV;SOCIOLOGIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1960;F;BRANCA;NAO;16429.4;2712.34;19141.74;False;10913;1.5461907185782628;0.48425310851159853;2
5002206;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DE CULTURA;1180.0;1958;F;BRANCA;NAO;16753.67;5334.09;22087.76;False;10984;1.5659768304697956;0.7974387046888928;2
5007593;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;II;ENGENHARIA;;EFETIVO;40;SECRETARIA MUNICIPAL DA PESSOA COM DEFICIENCIA;51.0;1959;M;BRANCA;NAO;9290.79;1712.94;11003.73;False;5503;0.0385447279699139;-0.3808827403783567;0
5007798;2;ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL;QAA;IV;CIENCIAS CONTABEIS;;EFETIVO;40;SECRETARIA MUNICIPAL DA FAZENDA;972.0;1959;F;BRANCA;NAO;16043.35;2246.06;18289.41;True;13350;2.2253281084327075;0.3936435813563878;2
5014158;5;ANALISTA DE MEIO AMBIENTE;QAA;II;MEIO AMBIENTE;;EFETIVO;40;SECRETARIA MUNICIPAL DO VERDE E DO MEIO AMBIENTE;740.0;1955;M;AMARELA;NAO;7575.84;412.23;7988.07;False;4381;-0.2741315754427603;-0.7014716280872046;0
5014344;2;ANALISTA;QAA;Nenhum;0;;ADMITIDO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1949;F;BRANCA;NAO;7290.65;3490.17;10780.82;False;12063;1.8666699956946402;-0.4045798643774744;3
5017629;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;DAS15;EFETIVO;40;SUBPREFEITURA BUTANTA;122.0;1956;F;BRANCA;NAO;20687.03;9847.41;30534.44;False;13251;2.197739022837472;1.695388654627736;2
5020379;3;ECONOMISTA;QPA;I;CIENCIAS ECONOMICAS;DAS15;ADMITIDO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1961;M;BRANCA;NAO;8184.77;13671.51;21856.28;False;13247;2.196624312308371;0.7728305208330059;2
5021171;2;ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL;QAA;IV;ADMINISTRACAO;;EFETIVO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1959;F;AMARELA;NAO;16043.35;2658.29;18701.64;False;11370;1.6735463965279884;0.4374669424714399;2
5027381;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;III;ENGENHARIA;DAS12;EFETIVO;40;SUBPREFEITURA SANTANA/TUCURUVI;183.0;1960;M;PARDA;NAO;16888.32;5491.07;22379.39;False;10997;1.569599639689372;0.8284413168277054;2
5034540;2;ANALISTA;QAA;Nenhum;0;;ADMITIDO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1959;F;BRANCA;NAO;7215.11;412.23;7627.34;False;13776;2.344044779781905;-0.7398201254188709;3
5035791;4;ANALISTA DE ORDENAMENTO TERRITORIAL;QAA;IV;SOCIOLOGIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL;898.0;1956;M;BRANCA;NAO;14958.28;5830.44;20788.72;False;10922;1.5486988172687388;0.6593403153846275;2
5037085;3;ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL;QAA;IV;CIENCIAS CONTABEIS;;EFETIVO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1959;F;BRANCA;NAO;15208.12;2541.36;17749.48;False;10859;1.5311421264354068;0.3362446842192309;2
5043409;3;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;III;EDUCACAO FISICA, ESPORTES;DAS09;EFETIVO;40;SECRETARIA MUNICIPAL DE ESPORTES E LAZER;679.0;1960;F;BRANCA;NAO;10542.99;1838.12;12381.11;False;4810;-0.15457887119673783;-0.23445617964126653;0
5043875;2;ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL;QAA;IV;CIENCIAS CONTABEIS;;EFETIVO;40;SUBPREFEITURA PIRITUBA;167.0;1955;M;PRETA;NAO;14854.95;2079.69;16934.64;True;10818;1.5197163435121273;0.24962064528225603;2
5045991;3;ANALISTA DE ORDENAMENTO TERRITORIAL;QAA;IV;TECNOLOGIA EM CONSTRUCAO CIVIL;;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1959;M;AMARELA;NAO;14132.29;2390.75;16523.04;False;10905;1.5439612975200618;0.20586425822902013;3
5048800;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA E OB;236.0;1956;F;BRANCA;NAO;19541.48;2971.36;22512.84;False;13288;2.2080500952316506;0.842628124048926;2
5057311;4;ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL;QAA;IV;SERVICO SOCIAL;;EFETIVO;30;PROCURADORIA GERAL DO MUNICIPIO;795.0;1958;F;BRANCA;NAO;13754.58;5394.44;19149.02;False;11160;1.6150240937502152;0.4850270310036965;2
5058503;2;ANALISTA;QAA;Nenhum;0;;ADMITIDO;40;GABINETE DO PREFEITO;865.0;1960;F;BRANCA;NAO;7215.11;;7215.11;True;12916;2.1043820160253097;-0.7836434865339231;3
5059585;4;ANALISTA;QAA;Nenhum;0;;ADMITIDO;40;SUBPREFEITURA VILA MARIANA;152.0;1954;F;BRANCA;NAO;7215.11;1422.34;8637.45;False;12419;1.9658792327845795;-0.6324373165599197;3
5068312;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SUBPREFEITURA VILA MARIANA;152.0;1961;M;BRANCA;NAO;18093.95;4543.59;22637.54;True;11027;1.5779599686576253;0.8558847359671441;2
5071691;1;ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL;QAA;IV;SERVICO SOCIAL;;EFETIVO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1955;F;BRANCA;NAO;16118.89;2649.24;18768.13;False;14828;2.6372136489353215;0.44453536369391256;2
5079390;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ENGENHARIA;DAS11;EFETIVO;40;SECRETARIA MUNICIPAL DE HABITACAO;247.0;1955;M;BRANCA;NAO;20185.84;6464.42;26650.26;False;13273;2.203869930747524;1.2824691126830363;2
5086981;3;ANALISTA;QAA;Nenhum;0;;ADMITIDO;40;PROCURADORIA GERAL DO MUNICIPIO;795.0;1954;M;PARDA;SIM;7215.11;1422.34;8637.45;False;12143;1.888964206276649;-0.6324373165599197;3
5091985;5;ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL;QAA;IV;CIENCIAS CONTABEIS;;EFETIVO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1957;F;AMARELA;NAO;;;0.0;True;10788;1.511356014543874;-1.5506676502649093;3
5092078;1;HISTORIADOR;QPCEL;I;;DAI06;ADMITIDO;40;SECRETARIA MUNICIPAL DE CULTURA;1180.0;1957;F;BRANCA;NAO;7458.03;2742.55;10200.58;False;14764;2.6193782804697143;-0.4662640383905202;3
5093635;2;ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL;QAA;I;SERVICO SOCIAL;;EFETIVO;30;SECRETARIA MUNICIPAL DE ASSIST E DESENV SOCIAL;898.0;1960;F;BRANCA;SIM;6794.67;412.23;7206.9;False;1968;-0.9465807021226025;-0.784516275498226;1
5094721;3;ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL;QAA;II;SERVICO SOCIAL;;EFETIVO;30;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1956;F;AMARELA;NAO;8893.25;2644.73;11537.98;False;11367;1.672710363631163;-0.3240876728778918;3
5094747;3;ANALISTA ASSISTENCIA DESENVOLVIMENTO SOCIAL;QAA;IV;SERVICO SOCIAL;DAS11;EFETIVO;40;SECRETARIA MUNICIPAL DA SAUDE;22493.0;1962;F;PARDA;NAO;16951.99;5394.9;22346.89;False;10688;1.483488251316363;0.8249863057022677;2
5098297;2;ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL;QAA;IV;CIENCIAS CONTABEIS;;EFETIVO;40;SECRETARIA MUNICIPAL DA FAZENDA;972.0;1955;M;PARDA;NAO;14854.95;2079.69;16934.64;True;13246;2.196345634676096;0.24962064528225603;2
5100739;4;ANALISTA PLANEJAMENTO DESENV ORGANIZACIONAL;QAA;III;CIENCIAS CONTABEIS;DAS10;EFETIVO;40;SUBPREFEITURA SAPOPEMBA;104.0;1962;M;PARDA;NAO;;;0.0;False;10845;1.5272406395835554;-1.5506676502649093;3
5101581;4;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;II;BIBLIOTECONOMIA;DAS10;EFETIVO;40;SECRETARIA MUNICIPAL DE CULTURA;1180.0;1961;M;BRANCA;NAO;9390.04;3005.72;12395.76;False;6546;0.32920549843285435;-0.23289876693395387;0
5115388;3;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1957;F;BRANCA;NAO;19541.48;3148.03;22689.51;False;11825;1.8003447192131639;0.8614095645268053;2
5121230;2;PROFISSIONAL ENG, ARQ, AGRONOMIA,GEOLOGIA;QEAG;IV;ARQUITETURA;;EFETIVO;40;SUBPREFEITURA VILA MARIA/VILA GUILHERME;145.0;1956;M;PRETA;NAO;18093.95;2945.38;21039.33;False;10599;1.458685942043878;0.6859821719429644;2
5126835;3;ANALISTA DE ORDENAMENTO TERRITORIAL;QAA;IV;TECNOLOGIA EM MECANICA;;EFETIVO;40;SECRETARIA MUNICIPAL DE URBANISMO E LICENCIAMENTO;759.0;1958;M;BRANCA;NAO;16043.35;2658.29;18701.64;False;13757;2.3387499047686777;0.4374669424714399;2
5127173;2;ANALISTA DE INFORMACOES CULTURA E DESPORTO;QAA;IV;BIBLIOTECONOMIA;;EFETIVO;40;SECRETARIA MUNICIPAL DE CULTURA;1180.0;1959;F;BRANCA;NAO;16043.35;2246.06;18289.41;True;13974;2.399222950972377;0.3936435813563878;2
